City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,ondangwa,0,NA,1518918736,31,-17.91,15.98,62.46,9.19
88,coihaique,0,CL,1518915600,52,-45.58,-72.07,66.2,6.93
89,takaka,0,NZ,1518918737,68,-40.86,172.81,72.19,11.43
90,kieta,0,PG,1518918738,87,-6.22,155.63,84.74,7.74
91,yashan,64,CN,1518918738,100,30.81,118.02,52.16,2.37
92,nalut,92,LY,1518918738,84,31.86,10.98,48.25,5.95
93,zhangye,0,CN,1518918724,78,38.94,100.46,24.12,3.15
94,warwick,90,US,1518917820,86,41.7,-71.42,35.6,8.05
95,arraial do cabo,24,BR,1518918740,95,-22.97,-42.02,75.87,11.99
96,gat,0,SN,1518918740,68,14.69,-16.54,68.14,14.67
97,tuktoyaktuk,20,CA,1518915840,76,69.44,-133.03,-2.21,19.46
98,port elizabeth,90,US,1518918180,100,39.31,-74.98,33.8,4.5
99,katsuura,20,JP,1518915600,55,33.93,134.5,35.6,4.7
100,reyes,20,BO,1518918744,93,-14.3,-67.34,73.67,3.6
101,hurricane,1,US,1518915360,33,37.18,-113.29,57.2,1.81
102,hobart,75,AU,1518917400,67,-42.88,147.33,60.8,18.34
103,itarare,88,BR,1518918745,86,-24.11,-49.33,66.96,6.96
104,ukiah,1,US,1518915360,45,39.15,-123.21,64.4,4.7
105,tilichiki,88,RU,1518918747,89,60.47,166.1,30.96,14.34
106,grand gaube,40,MU,1518915600,94,-20.01,57.66,77,4.7
107,shimoda,75,JP,1518915600,44,34.7,138.93,41,4.7
108,butaritari,76,KI,1518918748,100,3.07,172.79,81.91,7.18
109,cockburn town,56,TC,1518918628,100,21.46,-71.14,76.5,18.03
110,kalat,24,PK,1518918750,56,29.03,66.58,44.01,6.29
111,novaky,92,UA,1518918750,91,51.47,26.19,29.66,6.85
112,cidreira,0,BR,1518918750,82,-30.17,-50.22,71.24,16.13
113,muroto,40,JP,1518915600,24,33.37,134.14,46.4,12.75
114,lompoc,1,US,1518917700,36,34.64,-120.46,64.4,6.93
115,denpasar,75,ID,1518915600,79,-8.65,115.22,84.2,12.75
116,brownwood,40,US,1518916500,42,31.71,-98.99,62.6,5.82
117,vardo,90,US,1518916500,86,39.62,-77.74,33.8,8.05
118,vila franca do campo,40,PT,1518917400,76,37.72,-25.43,55.4,4.7
119,baykit,64,RU,1518918754,68,61.68,96.39,-5.85,2.71
120,egvekinot,80,RU,1518918755,90,66.32,-179.17,25.56,9.42
121,bichura,36,RU,1518918755,58,50.59,107.6,3.79,3.6
122,baker city,90,US,1518915360,80,44.77,-117.83,42.8,5.82
123,kotelnikovo,92,RU,1518918757,95,47.63,43.14,30.11,11.1
124,zhigansk,48,RU,1518918757,75,66.77,123.37,-16.97,3.38
125,namatanai,32,PG,1518918758,97,-3.66,152.44,84.33,11.32
126,aykhal,48,RU,1518918758,74,65.95,111.51,-17.91,3.38
127,vila do maio,40,CV,1518915600,77,15.13,-23.22,66.2,16.11
128,werda,40,DE,1518915600,85,50.44,12.3,24.8,2.24
129,tura,0,IN,1518918761,71,25.52,90.21,67.06,3.38
130,sudbury,90,CA,1518915600,79,46.49,-80.99,24.8,11.41
131,salalah,40,OM,1518915000,77,17.01,54.1,69.8,1.81
132,creston,1,US,1518917700,80,41.06,-94.36,33.8,8.05
133,eidfjord,68,NO,1518918763,81,60.47,7.07,13.82,2.15
134,punta arenas,90,CL,1518915600,93,-53.16,-70.91,48.2,11.41
135,guasdualito,88,VE,1518918764,57,7.24,-70.73,83.07,5.17
136,longyearbyen,20,NO,1518915000,65,78.22,15.63,8.6,8.05
137,chuy,0,UY,1518918765,88,-33.69,-53.46,69.04,13.44
138,idanre,0,NG,1518918765,93,7.11,5.11,72.1,3.71
139,namibe,36,AO,1518918766,100,-15.19,12.15,75.6,7.96
140,sao joao da barra,32,BR,1518918766,100,-21.64,-41.05,75.33,8.97
141,avarua,75,CK,1518915600,88,-21.21,-159.78,78.8,6.93
142,mayumba,80,GA,1518918767,100,-3.44,10.65,76.69,3.38
143,taksimo,32,RU,1518918768,42,56.36,114.84,-2.07,3.71
144,zavallya,32,UA,1518918768,71,48.21,30.02,18.1,2.93
145,faanui,80,PF,1518918769,100,-16.48,-151.75,81.55,13.22
146,haines junction,0,CA,1518918769,69,60.75,-137.51,4.95,4.61
147,bosaso,92,SO,1518918770,100,11.28,49.18,73.35,1.92
148,hazebrouck,0,FR,1518917400,92,50.72,2.54,30.2,2.24
149,ankazobe,75,MG,1518915600,93,-18.32,47.12,64.4,1.12
150,torbay,5,CA,1518915600,60,47.66,-52.73,10.4,26.4
151,faya,0,SA,1518915600,67,18.39,42.45,59,3.36
152,kaitangata,20,NZ,1518918773,47,-46.28,169.85,73.67,23.51
153,dekernes,0,EG,1518915600,82,31.09,31.59,55.4,11.41
154,lorengau,44,PG,1518918775,97,-2.02,147.27,84.11,13.56
155,thompson,20,CA,1518915600,62,55.74,-97.86,-14.81,5.82
156,mount gambier,88,AU,1518918776,68,-37.83,140.78,70.56,3.15
157,kungurtug,8,RU,1518918777,59,50.6,97.53,-6.62,2.59
158,padang,12,ID,1518918777,100,-0.92,100.36,82.35,2.93
159,nikolskoye,75,RU,1518915600,92,59.7,30.79,24.8,6.71
160,berezovyy,8,RU,1518918779,52,51.67,135.7,7.02,2.26
161,aleppo,92,SY,1518918779,99,36.2,37.17,48.7,6.73
162,yugo-kamskiy,0,RU,1518915600,85,57.7,55.58,17.6,11.18
163,castro,76,CL,1518918780,93,-42.48,-73.76,58.82,3.94
164,isangel,64,VU,1518918781,98,-19.55,169.27,82.08,5.39
165,nguru,0,NG,1518918781,43,12.88,10.45,65.35,8.63
166,bow island,90,CA,1518916140,61,49.87,-111.38,12.2,11.41
167,eidsvag,44,NO,1518916800,59,62.78,8.07,35.6,6.93
168,provideniya,92,RU,1518918783,96,64.42,-173.23,29.84,28.88
169,tasiilaq,88,GL,1518915000,80,65.61,-37.64,30.2,29.97
170,lagoa,0,PT,1518917400,93,37.14,-8.45,51.8,2.24
171,mareeba,40,AU,1518917400,55,-16.99,145.42,87.8,9.17
172,saldanha,0,PT,1518918787,92,41.42,-6.55,30.29,4.38
173,karoi,0,ZW,1518918788,87,-16.82,29.68,63.72,3.04
174,raeren,0,BE,1518917100,86,50.68,6.11,32,4.7
175,xinzhi,75,TW,1518916620,73,22.54,120.62,73.4,5.82
176,fortuna,40,ES,1518917400,87,38.18,-1.13,55.4,1.12
177,chapais,90,CA,1518917640,85,49.78,-74.86,17.6,14.99
178,hambantota,0,LK,1518918790,100,6.12,81.12,78.44,11.21
179,bayonet point,1,US,1518917700,87,28.33,-82.68,71.6,3.38
180,opuwo,0,NA,1518918792,67,-18.06,13.84,56.84,4.27
181,berlevag,80,NO,1518918792,100,70.86,29.09,19.94,3.15
182,pismo beach,1,US,1518915480,36,35.14,-120.64,68,13.87
183,khasan,0,RU,1518918793,95,42.43,130.64,21.79,10.98
184,norman wells,40,CA,1518915600,56,65.28,-126.83,15.8,21.92
185,constitucion,40,MX,1518914700,23,23.99,-104.67,73.4,2.71
186,onega,76,RU,1518918794,90,63.91,38.09,13.24,1.7
187,juneau,1,US,1518915360,42,58.3,-134.42,35.6,8.05
188,ust-ordynskiy,40,RU,1518915600,76,52.8,104.75,-11.21,2.24
189,tondano,40,ID,1518915600,74,1.3,124.91,84.2,2.24
190,abu kamal,8,SY,1518918797,90,34.45,40.92,39.92,10.76
191,vrangel,0,RU,1518918797,100,42.73,133.08,16.83,16.91
192,kruisfontein,0,ZA,1518918798,80,-34,24.73,61.66,9.42
193,el reno,1,US,1518916500,74,35.53,-97.96,53.6,3.38
194,ulladulla,0,AU,1518915600,51,-35.36,150.48,84.2,8.05
195,touros,80,BR,1518918802,100,-5.2,-35.46,74.35,4.38
196,praia,36,BR,1518918802,93,-20.25,-43.81,61.66,4.61
197,kodiak,1,US,1518915180,55,39.95,-94.76,33.8,5.82
198,sangar,44,RU,1518918804,36,63.92,127.47,-24.57,2.15
199,cabo san lucas,75,MX,1518915300,69,22.89,-109.91,77,4.7
200,asopos,8,GR,1518918805,100,36.73,22.85,47.88,3.15
201,kahului,40,US,1518917160,88,20.89,-156.47,75.2,3.83
202,shieli,0,KZ,1518918805,73,44.18,66.74,8.74,14.12
203,komsomolskiy,76,RU,1518918807,85,67.55,63.78,13.95,16.02
204,beringovskiy,92,RU,1518918807,97,63.05,179.32,32.22,16.69
205,talnakh,68,RU,1518918809,76,69.49,88.39,-0.27,9.19
206,gizo,40,IL,1518916800,72,31.8,34.94,60.8,20.8
207,saint-pierre,20,FR,1518917400,80,48.95,4.24,33.8,5.82
208,sitka,0,US,1518918811,39,37.17,-99.65,39.56,8.97
209,carbonia,20,IT,1518916800,93,39.17,8.53,55.4,3.36
210,jaru,36,BR,1518918813,94,-10.43,-62.48,75.69,1.59
